		LENGHT	DIAMETER	ROUGHNESS	FLOW	VELOCITY	UNITHEADLOSS	FRICTIONFACTOR
P348	48:00:00	42.47	305.00	88.73	3.69	0.05	0.03	0.06
P349	48:00:00	39.12	305.00	97.01	6.25	0.09	0.06	0.05
P35	48:00:00	64.56	152.00	84.38	0.25	0.01	5.40e-03	0.09
P350	48:00:00	400.16	203.00	99.86	0.67	0.02	6.67e-03	0.06
P37	48:00:00	180.61	203.00	97.80	0.22	6.73e-03	8.57e-04	0.08
P372	48:00:00	6.42	101.60	113.11	8.23	1.02	15.91	0.03
P374	48:00:00	15.83	254.00	91.92	33.77	0.67	3.68	0.04
P375	48:00:00	7.79	254.00	75.49	33.77	0.67	5.30	0.06
P376	48:00:00	6.64	254.00	102.69	33.77	0.67	3.00	0.03
P378	48:00:00	6.47	254.00	112.45	33.77	0.67	2.53	0.03
P379	48:00:00	6.43	254.00	101.78	48.21	0.95	5.89	0.03
P38	48:00:00	169.49	76.00	106.47	0.95	0.21	1.34	0.05
P380	48:00:00	4.79	254.00	87.81	48.21	0.95	7.74	0.04
P381	48:00:00	5.53	304.80	119.21	48.21	0.66	1.81	0.02
P383	48:00:00	19.56	152.00	80.15	5.14	0.28	1.77	0.07
P384	48:00:00	26.14	76.00	101.91	3.70	0.82	18.07	0.04
P385	48:00:00	106.53	305.00	76.02	22.78	0.31	1.03	0.06
P386	48:00:00	8.12	152.00	79.90	11.02	0.61	7.31	0.06
P39	48:00:00	190.12	102.00	95.44	0.26	0.03	0.03	0.07
P397	48:00:00	13.16	203.20	87.43	66.74	2.06	42.26	0.04
P398	48:00:00	6.75	203.20	91.05	30.79	0.95	9.35	0.04
P399	48:00:00	9.71	203.20	81.41	30.79	0.95	11.51	0.05
P40	48:00:00	143.64	102.00	107.91	5.86	0.72	9.08	0.04
P402	48:00:00	6.12	203.20	89.15	4.36e-05	1.34e-06	1.43e-10	0.32
P403	48:00:00	6.86	152.40	111.47	35.95	1.97	34.80	0.03
P409	48:00:00	26.38	152.40	89.90	35.95	1.97	51.82	0.04
P410	48:00:00	7.70	203.20	85.67	4.45e-05	1.37e-06	1.60e-10	0.34
P42	48:00:00	32.93	152.00	114.92	5.80	0.32	1.14	0.03
P424	48:00:00	27.80	203.20	124.99	30.79	0.95	5.20	0.02
P43	48:00:00	36.18	203.00	88.54	0.31	9.63e-03	2.00e-03	0.09
P44	48:00:00	247.65	152.00	115.17	16.04	0.88	7.44	0.03
P443	48:00:00	67.31	305.00	85.58	1.40	0.02	4.74e-03	0.08
P445	48:00:00	7.80	254.00	86.21	0.75	0.01	3.63e-03	0.08
P446	48:00:00	31.15	254.00	102.20	0.00	0.00	0.00	0.00
P450	48:00:00	19.47	254.00	96.97	5.95e-06	1.17e-07	0.00	0.00
P46	48:00:00	70.86	102.00	112.66	0.13	0.02	7.75e-03	0.06
P465	48:00:00	18.20	254.00	86.57	1.30e-05	2.57e-07	4.76e-13	0.00
P467	48:00:00	15.17	254.00	96.15	1.40e-05	2.76e-07	5.71e-13	0.00
P468	48:00:00	31.29	254.00	105.27	81.97	1.62	14.79	0.03
P48	48:00:00	28.98	152.00	113.52	5.12	0.28	0.92	0.03
P482	48:00:00	321.89	152.00	78.90	2.36	0.13	0.43	0.08
P484	48:00:00	336.57	203.00	79.98	1.48	0.05	0.04	0.08
P49	48:00:00	134.92	152.00	121.71	0.84	0.05	0.03	0.04
P492	48:00:00	157.32	101.60	114.11	0.21	0.03	0.02	0.05
P5	48:00:00	588.97	406.00	83.56	6.62	0.05	0.02	0.07
P500	48:00:00	24.23	203.00	112.62	0.46	0.01	2.60e-03	0.05
P501	48:00:00	11.32	152.40	111.45	1.36	0.07	0.08	0.04
P502	48:00:00	9.19	76.20	99.59	1.33	0.29	2.78	0.05
P51	48:00:00	57.47	102.00	92.24	3.05	0.37	3.63	0.05
P510	48:00:00	193.37	102.00	104.95	5.25e-07	6.42e-08	2.28e-11	0.00
P52	48:00:00	83.26	102.00	89.65	1.66	0.20	1.23	0.06
P524	48:00:00	170.54	305.00	96.23	7.05	0.10	0.08	0.05
P527	48:00:00	149.04	305.00	73.12	11.13	0.15	0.29	0.08
P529	48:00:00	212.31	102.00	103.92	1.08	0.13	0.42	0.05
P53	48:00:00	10.32	203.00	87.56	30.79	0.95	10.10	0.04
P54	48:00:00	111.67	51.00	92.40	1.03	0.50	14.04	0.06
P55	48:00:00	99.86	76.00	87.65	1.43	0.32	4.10	0.06
P57	48:00:00	288.77	152.00	99.60	25.73	1.42	23.37	0.03
P58	48:00:00	503.91	102.00	100.85	9.14	1.12	23.43	0.04
P596	48:00:00	76.39	76.00	112.81	1.61	0.36	3.22	0.04
P597	48:00:00	79.68	102.00	101.12	0.59	0.07	0.14	0.06
P6	48:00:00	199.39	152.00	94.65	0.65	0.04	0.03	0.07
P609	48:00:00	86.07	76.00	111.63	2.77	0.61	8.92	0.04
P610	48:00:00	206.58	76.00	95.80	4.36e-07	9.61e-08	1.52e-10	0.00
P63	48:00:00	165.95	254.00	88.73	4.31	0.09	0.09	0.06
P633	48:00:00	173.88	152.00	119.13	7.05	0.39	1.53	0.03
P64	48:00:00	126.63	203.00	80.25	3.54	0.11	0.22	0.07
P65	48:00:00	164.93	102.00	101.95	2.83	0.35	2.62	0.04
P67	48:00:00	330.24	203.00	74.11	3.04	0.09	0.19	0.09
P670	48:00:00	54.41	152.00	98.70	8.94e-07	4.93e-08	9.81e-11	0.00
P671	48:00:00	62.97	152.00	94.84	2.37e-06	1.31e-07	4.83e-10	0.00
P68	48:00:00	302.74	305.00	83.22	1.48	0.02	5.53e-03	0.08
P69	48:00:00	103.63	152.00	72.35	6.04	0.33	2.88	0.08
P697	48:00:00	88.89	102.00	97.76	1.61e-05	1.97e-06	1.95e-13	0.00
P7	48:00:00	60.22	508.00	78.45	50.47	0.25	0.35	0.06
P70	48:00:00	88.36	152.00	72.84	2.72	0.15	0.65	0.09
P71	48:00:00	419.40	254.00	84.73	0.57	0.01	2.21e-03	0.09
P72	48:00:00	247.46	305.00	85.04	4.41	0.06	0.04	0.07
P724	48:00:00	92.72	152.00	96.71	0.47	0.03	0.02	0.07
P725	48:00:00	117.32	152.00	105.29	1.08	0.06	0.06	0.05
P752	48:00:00	70.36	152.00	106.17	1.32	0.07	0.08	0.05
P753	48:00:00	71.91	152.00	89.52	1.10	0.06	0.08	0.07
P754	48:00:00	92.49	51.00	84.83	1.04e-07	5.08e-08	4.80e-11	0.00
P755	48:00:00	47.12	305.00	114.13	0.87	0.01	1.15e-03	0.05
P756	48:00:00	41.66	305.00	107.92	0.98	0.01	1.58e-03	0.05
P757	48:00:00	568.43	305.00	99.83	1.91	0.03	6.34e-03	0.06
P758	48:00:00	102.21	305.00	93.36	2.98	0.04	0.02	0.06
P759	48:00:00	97.19	152.00	104.44	3.23	0.18	0.46	0.04
P760	48:00:00	88.54	152.00	101.85	3.49	0.19	0.55	0.04
P761	48:00:00	171.27	152.00	96.99	4.05	0.22	0.80	0.05
P763	48:00:00	387.59	305.00	112.21	1.99	0.03	5.52e-03	0.04
P766	48:00:00	37.85	152.00	95.04	2.01	0.11	0.23	0.06
P767	48:00:00	227.50	305.00	109.31	4.08	0.06	0.02	0.04
P768	48:00:00	217.03	254.00	116.51	0.95	0.02	3.18e-03	0.05
P769	48:00:00	154.26	305.00	110.62	4.72	0.06	0.03	0.04
P771	48:00:00	69.36	203.00	99.63	0.48	0.01	3.55e-03	0.06
P772	48:00:00	215.02	305.00	85.80	6.03	0.08	0.07	0.06
P775	48:00:00	129.42	203.00	108.38	0.40	0.01	2.14e-03	0.06
P776	48:00:00	421.07	102.00	114.35	0.20	0.02	0.02	0.05
P777	48:00:00	402.31	305.00	111.77	6.44	0.09	0.05	0.04
P779	48:00:00	524.49	203.00	87.91	7.05	0.22	0.65	0.05
P780	48:00:00	153.56	203.00	104.95	1.56e-06	4.81e-08	9.48e-12	0.00
P781	48:00:00	130.18	152.00	90.91	5.40	0.30	1.54	0.05
P783	48:00:00	674.96	203.00	115.08	8.63	0.27	0.58	0.03
P784	48:00:00	88.96	102.00	98.43	0.33	0.04	0.05	0.06
P785	48:00:00	184.71	102.00	89.65	0.77	0.09	0.30	0.07
P786	48:00:00	166.27	203.00	110.00	8.76	0.27	0.65	0.04
P787	48:00:00	127.08	102.00	130.12	16.98	2.08	46.06	0.02
P788	48:00:00	107.85	152.00	113.91	26.75	1.47	19.58	0.03
P789	48:00:00	285.95	203.00	74.97	17.09	0.53	4.53	0.06
P791	48:00:00	82.50	152.00	115.95	28.26	1.56	20.98	0.03
P794	48:00:00	39.04	203.00	123.95	5.29	0.16	0.20	0.03
P795	48:00:00	129.41	203.00	97.78	4.22	0.13	0.21	0.05
P796	48:00:00	22.42	203.00	89.88	33.77	1.04	11.42	0.04
P797	48:00:00	21.64	102.00	117.05	0.92	0.11	0.25	0.04
P798	48:00:00	684.07	203.00	116.09	3.77	0.12	0.12	0.04
P8	48:00:00	11.35	406.00	76.08	57.16	0.44	1.41	0.06
P800	48:00:00	15.93	203.00	109.67	1.39	0.04	0.02	0.05
P801	48:00:00	9.47	203.00	104.47	0.19	5.75e-03	5.67e-04	0.07
P804	48:00:00	68.27	102.00	103.01	2.47	0.30	2.00	0.04
P805	48:00:00	96.57	152.00	114.56	3.01	0.17	0.34	0.04
P806	48:00:00	32.51	152.00	103.90	3.29	0.18	0.48	0.04
P807	48:00:00	162.82	203.00	100.15	0.23	7.06e-03	8.96e-04	0.07
P808	48:00:00	253.47	203.00	92.06	12.02	0.37	1.61	0.05
P809	48:00:00	17.35	102.00	109.35	1.22	0.15	0.48	0.04
P810	48:00:00	64.30	203.00	88.94	1.61e-05	4.97e-07	2.69e-13	0.00
P811	48:00:00	50.17	102.00	89.57	2.00	0.24	1.75	0.06
P813	48:00:00	30.85	152.00	76.04	16.17	0.89	16.30	0.06
P815	48:00:00	50.52	102.00	84.34	18.02	2.21	114.81	0.05
P817	48:00:00	253.30	203.00	72.66	8.89	0.27	1.43	0.08
P819	48:00:00	8.02	203.00	105.07	9.04	0.28	0.74	0.04
P821	48:00:00	64.78	102.00	83.95	0.18	0.02	0.02	0.09
P822	48:00:00	11.71	102.00	99.59	1.25	0.15	0.61	0.05
P823	48:00:00	18.84	76.00	113.36	0.26	0.06	0.11	0.05
P826	48:00:00	335.29	76.00	99.15	0.91	0.20	1.42	0.05
P827	48:00:00	119.07	76.00	103.74	0.47	0.10	0.38	0.05
P83	48:00:00	15.14	610.00	75.66	186.15	0.64	1.74	0.05
P830	48:00:00	89.30	76.00	99.04	0.30	0.07	0.18	0.06
P831	48:00:00	62.20	76.00	86.29	3.28	0.72	19.63	0.06
P84	48:00:00	148.63	203.00	97.41	0.45	0.01	3.30e-03	0.07
P840	48:00:00	235.28	203.00	97.77	13.87	0.43	1.88	0.04
P841	48:00:00	347.83	76.00	93.68	0.90	0.20	1.53	0.06
P842	48:00:00	64.41	52.00	95.52	1.39	0.66	21.13	0.05
P844	48:00:00	12.49	102.00	113.81	2.93	0.36	2.28	0.04
P846	48:00:00	94.84	203.00	103.98	1.65	0.05	0.03	0.05
P847	48:00:00	68.63	152.00	91.07	1.98	0.11	0.24	0.06
P85	48:00:00	36.60	76.00	69.93	0.58	0.13	1.18	0.11
P850	48:00:00	241.13	101.60	112.53	2.40	0.30	1.64	0.04
P851	48:00:00	228.78	76.00	121.93	1.20	0.26	1.60	0.03
P852	48:00:00	40.39	203.00	105.38	2.74	0.08	0.08	0.05
P853	48:00:00	295.68	203.00	118.65	11.64	0.36	0.95	0.03
P855	48:00:00	37.88	102.00	114.85	0.70	0.09	0.16	0.04
P858	48:00:00	195.38	102.00	113.41	1.17	0.14	0.42	0.04
P859	48:00:00	90.81	152.00	95.29	4.95	0.27	1.20	0.05
P86	48:00:00	161.00	305.00	110.50	34.20	0.47	1.10	0.03
P861	48:00:00	110.79	152.00	87.94	0.84	0.05	0.05	0.07
P866	48:00:00	17.37	102.00	92.17	1.38	0.17	0.84	0.06
P87	48:00:00	80.03	203.00	76.40	3.62	0.11	0.25	0.08
P871	48:00:00	48.15	102.00	91.81	0.60	0.07	0.18	0.07
P880	48:00:00	112.84	76.00	86.03	0.40	0.09	0.39	0.08
P889	48:00:00	15.72	203.00	88.74	2.16	0.07	0.07	0.06
P89	48:00:00	104.30	152.00	78.43	1.86	0.10	0.28	0.08
P892	48:00:00	30.39	254.00	69.85	2.40	0.05	0.05	0.10
P9	48:00:00	49.95	254.00	66.75	43.76	0.86	10.75	0.07
P90	48:00:00	98.94	102.00	62.32	1.67	0.20	2.45	0.12
P91	48:00:00	572.34	102.00	94.34	0.40	0.05	0.08	0.07
P914	48:00:00	38.61	203.00	91.18	2.11e-05	6.51e-07	6.87e-11	0.00
P915	48:00:00	10.58	152.00	72.77	18.26	1.01	22.14	0.07
P92	48:00:00	63.12	203.00	83.11	1.25	0.04	0.03	0.08
P924	48:00:00	82.38	254.00	74.46	1.59	0.03	0.02	0.10
P927	48:00:00	348.88	406.00	84.53	0.07	5.26e-04	4.46e-06	0.13
P929	48:00:00	83.31	203.00	90.08	1.95e-05	6.02e-07	1.29e-10	0.00
P930	48:00:00	78.95	203.00	88.20	3.91e-08	1.21e-09	7.15e-11	0.00
P931	48:00:00	248.40	203.00	87.08	2.14e-05	6.61e-07	7.35e-11	0.00
P932	48:00:00	381.56	203.00	84.96	1.30e-06	4.00e-08	4.46e-11	0.00
P933	48:00:00	130.54	305.00	87.95	48.21	0.66	3.17	0.04
P934	48:00:00	18.46	254.00	102.99	48.21	0.95	5.76	0.03
P935	48:00:00	152.13	305.00	100.05	34.68	0.47	1.35	0.04
P937	48:00:00	198.09	254.00	74.28	13.52	0.27	1.00	0.07
P938	48:00:00	168.95	254.00	74.48	11.36	0.22	0.72	0.07
P939	48:00:00	248.76	152.00	95.79	0.31	0.02	7.06e-03	0.07
P94	48:00:00	51.35	305.00	139.08	0.07	8.95e-04	6.62e-06	0.05
P940	48:00:00	187.99	152.00	99.28	0.24	0.01	4.02e-03	0.07
P941	48:00:00	142.58	152.00	79.37	0.03	1.68e-03	1.35e-04	0.14
P942	48:00:00	85.08	152.00	83.59	0.59	0.03	0.03	0.08
P943	48:00:00	84.21	76.00	86.77	0.39	0.09	0.38	0.08
P944	48:00:00	59.58	254.00	82.35	1.76	0.03	0.02	0.08
P946	48:00:00	143.03	102.00	98.06	0.22	0.03	0.03	0.07
P947	48:00:00	122.43	152.00	76.80	0.77	0.04	0.06	0.09
P948	48:00:00	74.71	152.00	104.85	1.95	0.11	0.18	0.05
P949	48:00:00	24.39	254.00	92.69	2.35	0.05	0.03	0.06
P95	48:00:00	50.70	305.00	118.43	0.37	5.12e-03	2.25e-04	0.05
P951	48:00:00	338.80	254.00	94.71	11.13	0.22	0.45	0.05
P953	48:00:00	495.66	254.00	85.41	7.90	0.16	0.29	0.06
P954	48:00:00	294.07	203.00	78.67	1.65	0.05	0.05	0.08
P955	48:00:00	131.74	102.00	85.18	0.31	0.04	0.06	0.08
P956	48:00:00	115.17	152.00	68.25	0.75	0.04	0.07	0.12
P957	48:00:00	51.05	152.00	98.15	0.06	3.16e-03	2.94e-04	0.09
P958	48:00:00	122.41	102.00	105.31	0.30	0.04	0.04	0.06
P959	48:00:00	123.42	102.00	98.22	0.19	0.02	0.02	0.07
P96	48:00:00	53.72	254.00	87.90	1.69	0.03	0.02	0.07
P961	48:00:00	234.55	203.00	85.65	6.19	0.19	0.54	0.06
P962	48:00:00	49.83	152.00	90.75	0.70	0.04	0.03	0.07
P963	48:00:00	93.54	203.00	85.53	10.54	0.33	1.45	0.05
P964	48:00:00	129.91	152.00	96.26	2.59	0.14	0.35	0.05
P965	48:00:00	135.06	203.00	93.94	7.45	0.23	0.64	0.05
P966	48:00:00	31.32	203.00	82.51	4.38	0.14	0.30	0.07
P967	48:00:00	207.54	203.00	82.11	3.15	0.10	0.17	0.07
P968	48:00:00	68.17	102.00	78.40	0.02	2.33e-03	4.03e-04	0.15
P969	48:00:00	149.16	203.00	86.27	2.61	0.08	0.11	0.07
P97	48:00:00	24.41	610.00	88.90	186.27	0.64	1.30	0.04
P970	48:00:00	165.04	203.00	87.80	0.79	0.02	0.01	0.08
P971	48:00:00	136.94	152.00	77.83	2.49	0.14	0.49	0.08
P972	48:00:00	219.42	152.00	82.67	2.46	0.14	0.43	0.07
P973	48:00:00	164.68	203.00	71.93	6.71	0.21	0.86	0.08
P974	48:00:00	186.40	203.00	72.72	5.61	0.17	0.61	0.08
P975	48:00:00	159.56	152.00	74.72	2.05	0.11	0.37	0.09
P976	48:00:00	83.33	76.00	83.20	1.47	0.32	4.74	0.07
P977	48:00:00	45.98	102.00	102.43	0.67	0.08	0.18	0.05
P978	48:00:00	178.97	76.00	78.86	2.60	0.57	15.10	0.07
P98	48:00:00	174.53	610.00	71.75	186.67	0.64	1.94	0.06
P981	48:00:00	36.19	76.00	80.22	3.77	0.83	29.14	0.06
P982	48:00:00	87.24	203.00	98.51	1.77	0.05	0.04	0.05
P983	48:00:00	180.20	101.60	91.90	3.80	0.47	5.60	0.05
P984	48:00:00	16.03	101.60	108.96	1.24	0.15	0.51	0.04
P986	48:00:00	229.54	101.60	87.08	0.58	0.07	0.19	0.07
P987	48:00:00	94.56	101.60	96.41	0.78	0.10	0.27	0.06
P988	48:00:00	9.74	101.60	102.52	2.74	0.34	2.49	0.04
P989	48:00:00	91.59	51.00	82.07	0.47	0.23	4.12	0.08
P99	48:00:00	452.37	508.00	96.64	160.84	0.79	2.06	0.03
P990	48:00:00	78.87	102.00	85.79	1.48	0.18	1.08	0.07
P991	48:00:00	20.25	203.00	74.31	20.70	0.64	6.57	0.06
P992	48:00:00	69.15	203.00	80.64	19.51	0.60	5.06	0.06
P993	48:00:00	63.52	203.00	80.23	17.51	0.54	4.18	0.06
P994	48:00:00	115.39	203.00	83.09	17.81	0.55	4.04	0.05
P995	48:00:00	228.99	152.00	82.50	25.66	1.41	32.95	0.05
P996	48:00:00	10.22	203.00	84.58	67.70	2.09	46.37	0.04
P997	48:00:00	154.87	203.00	96.62	42.38	1.31	15.22	0.04
P998	48:00:00	107.98	203.00	90.64	43.24	1.34	17.78	0.04
P999	48:00:00	81.67	254.00	68.70	41.86	0.83	9.39	0.07
PU1	48:00:00	0.00	0.00	1.00	93.43	0.00	-33.52	0.00
PU2	48:00:00	0.00	0.00	1.00	93.45	0.00	-33.51	0.00
PU3	48:00:00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
PU4	48:00:00	0.00	0.00	1.00	33.77	0.00	-64.21	0.00
PU5	48:00:00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
PU6	48:00:00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
PU7	48:00:00	0.00	0.00	1.00	48.21	0.00	-85.79	0.00
PU8	48:00:00	0.00	0.00	1.00	35.95	0.00	-60.49	0.00
PU9	48:00:00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
PU10	48:00:00	0.00	0.00	1.00	30.79	0.00	-47.42	0.00
PU11	48:00:00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
v1	48:00:00	0.00	203.20	131.23	4.69	0.14	52.75	0.00
V45	48:00:00	0.00	152.40	131.23	2.67	0.15	38.54	0.00
V47	48:00:00	0.00	101.60	131.23	2.51	0.31	50.47	0.00
V2	48:00:00	0.00	254.00	-1.00e+10	0.00	0.00	0.00	0.00
P1	49:00:00	52.90	203.00	72.45	1.03	0.03	0.03	0.10
P10	49:00:00	79.23	76.00	108.01	1.74	0.38	4.02	0.04
P100	49:00:00	107.88	406.00	76.51	183.73	1.42	12.12	0.05
P1000	49:00:00	109.27	203.00	76.95	40.77	1.26	21.59	0.05
P101	49:00:00	243.37	254.00	84.21	0.50	9.83e-03	1.76e-03	0.09
P1016	49:00:00	164.77	305.00	85.24	33.48	0.46	1.71	0.05
P102	49:00:00	1.28e+03	508.00	92.95	163.56	0.81	2.29	0.04
P1022	49:00:00	200.76	102.00	99.58	0.19	0.02	0.02	0.07
P1023	49:00:00	136.34	102.00	95.69	1.33	0.16	0.73	0.06
P1024	49:00:00	375.62	102.00	89.62	3.54	0.43	5.04	0.05
P1025	49:00:00	39.18	76.00	97.78	3.77	0.83	20.22	0.04
P1026	49:00:00	45.61	76.00	88.45	2.53	0.56	11.62	0.06
P1027	49:00:00	82.32	51.00	92.01	0.73	0.36	7.46	0.06
P1028	49:00:00	9.57	51.00	86.99	0.01	4.98e-03	1.59e-03	0.06
P1029	49:00:00	122.62	76.00	91.34	0.94	0.21	1.75	0.06
P103	49:00:00	35.98	254.00	79.37	7.21	0.14	0.28	0.07
P1030	49:00:00	95.25	76.00	104.61	1.95	0.43	5.24	0.04
P1031	49:00:00	188.28	152.00	84.37	13.05	0.72	9.04	0.05
P1032	49:00:00	143.29	152.00	98.43	12.03	0.66	5.84	0.04
P1033	49:00:00	128.79	152.00	84.69	11.90	0.66	7.56	0.05
P1034	49:00:00	52.87	203.00	97.42	0.60	0.02	5.67e-03	0.07
P1035	49:00:00	122.47	152.00	97.76	4.04	0.22	0.78	0.05
P1036	49:00:00	83.33	203.00	74.30	11.07	0.34	2.06	0.07
P1039	49:00:00	121.38	203.00	92.14	6.54	0.20	0.52	0.05
P104	49:00:00	33.11	203.00	99.89	0.34	0.01	1.90e-03	0.07
P1040	49:00:00	29.45	152.00	94.69	3.30	0.18	0.57	0.05
P1041	49:00:00	307.54	102.00	112.51	2.90	0.35	2.28	0.04
P1042	49:00:00	84.54	152.00	76.15	2.48	0.14	0.51	0.08
P1044	49:00:00	65.80	203.00	100.22	12.07	0.37	1.39	0.04
P1045	49:00:00	68.63	203.00	118.82	12.43	0.38	1.07	0.03
P106	49:00:00	270.38	102.00	63.55	1.93	0.24	3.10	0.11
P107	49:00:00	357.00	203.00	80.51	4.88	0.15	0.39	0.07
P108	49:00:00	183.53	203.00	78.72	1.48	0.05	0.04	0.08
P109	49:00:00	218.52	203.00	76.89	5.57	0.17	0.54	0.07
P11	49:00:00	83.45	101.60	96.83	1.06	0.13	0.47	0.06
P110	49:00:00	425.83	508.00	98.99	161.75	0.80	1.99	0.03
P111	49:00:00	126.36	152.00	72.41	0.42	0.02	0.02	0.12
P112	49:00:00	646.98	305.00	68.60	1.41	0.02	7.23e-03	0.12
P113	49:00:00	310.73	152.00	85.35	5.78	0.32	1.96	0.06
P115	49:00:00	99.88	102.00	91.23	7.40	0.91	19.11	0.05
P116	49:00:00	204.54	152.00	93.47	3.16	0.17	0.54	0.05
P117	49:00:00	104.00	102.00	67.96	3.30	0.40	7.40	0.09
P118	49:00:00	115.91	102.00	84.67	1.29	0.16	0.86	0.07
P119	49:00:00	64.88	305.00	78.14	0.23	3.15e-03	1.99e-04	0.12
P12	49:00:00	85.24	406.00	89.66	58.06	0.45	1.07	0.04
P120	49:00:00	91.40	102.00	88.39	3.19	0.39	4.25	0.06
P121	49:00:00	42.23	152.00	100.37	0.41	0.02	0.01	0.06
P122	49:00:00	45.06	305.00	78.98	14.18	0.19	0.40	0.06
P123	49:00:00	51.21	152.00	61.06	2.11	0.12	0.57	0.12
P124	49:00:00	99.09	102.00	78.83	0.71	0.09	0.33	0.09
P125	49:00:00	193.35	508.00	84.74	4.39	0.02	3.35e-03	0.07
P126	49:00:00	109.60	76.00	89.74	0.76	0.17	1.22	0.06
P127	49:00:00	87.22	102.00	73.68	1.15	0.14	0.90	0.09
P128	49:00:00	165.63	102.00	90.95	0.75	0.09	0.27	0.07
P129	49:00:00	79.59	102.00	78.07	0.56	0.07	0.21	0.09
P13	49:00:00	62.56	406.00	83.04	52.93	0.41	1.04	0.05
P130	49:00:00	56.79	76.00	70.71	1.18	0.26	4.28	0.09
P131	49:00:00	86.50	76.00	74.73	0.29	0.06	0.28	0.11
P132	49:00:00	67.35	76.00	88.54	0.87	0.19	1.62	0.07
P134	49:00:00	68.79	76.00	78.57	1.29	0.28	4.12	0.08
P136	49:00:00	241.77	102.00	75.73	1.37	0.17	1.18	0.08
P138	49:00:00	19.28	254.00	72.49	41.86	0.83	8.50	0.06
P139	49:00:00	73.66	406.00	68.72	58.43	0.45	1.77	0.07
P14	49:00:00	151.39	406.00	72.01	52.10	0.40	1.31	0.06
P140	49:00:00	222.30	102.00	107.83	0.94	0.11	0.31	0.05
P141	49:00:00	169.94	102.00	103.79	1.27	0.16	0.57	0.05
P142	49:00:00	16.61	152.40	85.39	3.08	0.17	0.60	0.06
P144	49:00:00	130.79	76.00	99.92	0.00	0.00	0.00	0.00
P147	49:00:00	60.08	203.00	92.84	0.77	0.02	9.82e-03	0.07
P148	49:00:00	561.69	305.00	96.44	33.48	0.46	1.36	0.04
P15	49:00:00	395.29	406.00	90.48	51.40	0.40	0.84	0.04
P150	49:00:00	93.19	152.00	103.15	1.00	0.06	0.05	0.05
P154	49:00:00	170.64	152.00	108.83	18.04	0.99	10.27	0.03
P155	49:00:00	59.38	101.60	105.71	6.62	0.82	12.03	0.04
P156	49:00:00	80.34	102.00	110.87	0.25	0.03	0.03	0.05
P157	49:00:00	232.93	102.00	102.90	2.08	0.25	1.46	0.04
P158	49:00:00	69.88	76.00	105.07	0.89	0.20	1.22	0.05
P159	49:00:00	118.78	203.00	80.15	2.71	0.08	0.13	0.08
P16	49:00:00	252.34	102.00	97.25	4.12	0.50	5.73	0.05
P160	49:00:00	68.68	76.00	104.63	1.78	0.39	4.42	0.04
P161	49:00:00	40.31	76.00	90.01	3.15	0.69	16.88	0.05
P162	49:00:00	190.67	152.00	98.76	25.21	1.39	22.86	0.04
P163	49:00:00	67.74	203.00	94.23	1.40	0.04	0.03	0.06
P165	49:00:00	143.81	305.00	92.93	33.46	0.46	1.45	0.04
P166	49:00:00	235.00	101.60	93.60	3.06	0.38	3.62	0.05
P17	49:00:00	32.42	508.00	77.28	155.61	0.77	2.94	0.05
P174	49:00:00	278.59	102.00	89.32	1.04	0.13	0.52	0.06
P177	49:00:00	56.80	102.00	100.61	1.00	0.12	0.39	0.05
P18	49:00:00	283.30	508.00	100.30	152.76	0.75	1.75	0.03
P184	49:00:00	59.38	101.60	95.91	7.03	0.87	16.14	0.04
P19	49:00:00	750.87	508.00	97.70	145.30	0.72	1.67	0.03
P195	49:00:00	144.33	76.00	80.63	1.09	0.24	2.92	0.07
P2	49:00:00	295.25	203.00	62.05	6.95	0.21	1.22	0.10
P20	49:00:00	579.67	508.00	89.67	127.82	0.63	1.55	0.04
P201	49:00:00	102.19	76.00	96.63	0.94	0.21	1.57	0.05
P21	49:00:00	176.48	406.00	86.69	108.13	0.84	3.60	0.04
P211	49:00:00	202.33	76.00	84.05	0.79	0.18	1.49	0.07
P215	49:00:00	140.76	254.00	81.42	81.26	1.60	23.41	0.05
P218	49:00:00	54.55	102.00	81.77	0.90	0.11	0.48	0.08
P219	49:00:00	67.98	102.00	86.84	0.46	0.06	0.12	0.08
P22	49:00:00	567.30	406.00	81.11	183.45	1.42	10.85	0.04
P220	49:00:00	68.33	76.00	93.74	0.82	0.18	1.28	0.06
P223	49:00:00	108.98	203.00	93.22	0.97	0.03	0.01	0.07
P225	49:00:00	120.77	102.00	92.69	0.12	0.01	8.72e-03	0.08
P228	49:00:00	42.72	76.00	99.29	1.88	0.41	5.40	0.05
P23	49:00:00	316.91	508.00	77.16	182.26	0.90	3.95	0.05
P230	49:00:00	114.61	76.00	77.40	1.86	0.41	8.42	0.07
P231	49:00:00	12.21	76.00	98.42	1.44	0.32	3.35	0.05
P233	49:00:00	58.66	76.00	97.30	0.65	0.14	0.78	0.06
P234	49:00:00	41.63	76.00	87.21	1.30	0.29	3.47	0.06
P235	49:00:00	92.74	76.00	84.32	4.55	1.00	37.61	0.06
P237	49:00:00	12.01	305.00	5.06	48.05	0.66	623.13	8.63
